ID,First_Name,Last_name,DOB,Street,City,Province,zipcode,Contact_no.,Work_no.
1,ELLIS,KIRK,06-06-1949,"Rutherford Ln,  Smithville",Berlin,TX,78957,+49 151 2345 6789,+49 157 9876 5432
2,BELINDA,JOHNSON,14-01-1996,"Unnamed Road,  Spearman",Munich,TX,79081,+49 163 8765 4321,+49 152 4567 8901
3,JOELLE,BECK,15-04-1989,6121 Stan Roberts Sr Ave,Leipzig,TX,79934,+49 160 3456 7890,+49 155 6789 0123
4,KEVIN,MCCABE,20-09-1988,Goethestraße 25,Munich,TX,80333,+49 154 8901 2345,+49 159 5678 9012
5,SCOTTY,ARMOUR,03-03-1990,Ludwigstraße 10,Berlin,TX,10115,+49 158 4321 5678,+49 164 1234 5678
6,SALLY,MITCHELL,11-07-1987,Am Markt 5,Hamburg,TX,20095,+49 163 8901 2345,+49 158 3456 7890
7,JANET,SPEARS,02-12-1986,Schlossplatz 8,Stuttgart,TX,70173,+49 151 6789 0123,+49 172 1234 567
8,JESSICA,RALPH,28-06-1985,Kaiserstraße 15,Frankfurt,TX,60311,+49 152 3456 7890,+49 173 2345 678
9,TIMOTHY,HEAD,17-11-1984,Karl-Marx-Allee 50,Leipzig,TX,4107,+49 157 2345 6789,+49 174 3456 789
10,DAVID,SMITH,09-02-1983,Schillerstraße 22,Bonn,TX,53113,+49 160 5678 9012,+49 175 4567 890
11,Laura,Hoffmann,24-05-1982,Hauptstraße 7,Dresden,TX,1097,+49 159 4321 5678,+49 176 5678 901
12,Dominik , Richter,13-08-1981,Augustinerstraße 4,Cologne,TX,50667,+49 155 9012 3456,+49 177 6789 012
13,Sarah ,Schmidt,30-10-1980,Bahnhofstraße 9,Chemnitz ,TX,45127,+49 154 6789 0123,+49 178 7890 123
14, Alexander,Huber,08-01-1979,Friedrichstraße 101,Berlin,TX,10117,+49 164 5678 9012,+49 179 8901 234
