ID,First_Name,Last_name,DOB,Age,Sex,Street,City,Province,Zipcode,Created_Time,Contact_no.,Work_no.
1,ELLIS,KIRK,6/6/1949,NULL,F,"Rutherford Ln,  Smithville",Berlin,TX,78957,8/15/2023 9:30,+49 151 2345 6789,+49 157 9876 5432
2,BELINDA,JOHNSON,1/14/1996,NULL,M,"Unnamed Road,  Spearman",Munich,TX,79081,5/20/2022 14:45,+49 163 8765 4321,+49 152 4567 8901
3,JOELLE,BECK,4/15/1989,NULL,M,6121 Stan Roberts Sr Ave,Leipzig,TX,79934,11/10/2021 18:15,+49 160 3456 7890,+49 155 6789 0123
4,KEVIN,MCCABE,9/20/1988,NULL,F,Goethestraße 25,Munich,TX,80333,3/5/2020 11:00,+49 154 8901 2345,+49 159 5678 9012
5,SCOTTY,ARMOUR,3/3/1990,NULL,F,Ludwigstraße 10,Berlin,TX,10115,9/30/2019 16:20,+49 158 4321 5678,+49 164 1234 5678
6,SALLY,MITCHELL,11/7/1987,NULL,F,Am Markt 5,Hamburg,TX,20095,7/25/2018 8:30,+49 163 8901 2345,+49 158 3456 7890
7,JANET,SPEARS,2/12/1986,NULL,M,Schlossplatz 8,Stuttgart,TX,70173,2/15/2017 12:45,+49 151 6789 0123,+49 172 1234 567
8,JESSICA,RALPH,6/28/1985,NULL,M,Kaiserstraße 15,Frankfurt,TX,60311,11/1/2016 20:10,+49 152 3456 7890,+49 173 2345 678
9,TIMOTHY,HEAD,11/17/1984,NULL,M,Karl-Marx-Allee 50,Leipzig,TX,4107,4/10/2015 15:25,+49 157 2345 6789,+49 174 3456 789
10,DAVID,SMITH,2/9/1983,NULL,M,Schillerstraße 22,Bonn,TX,53113,5/3/2016 22:00,+49 160 5678 9012,+49 175 4567 890
11,Laura,Hoffmann,5/24/1982,NULL,F,Hauptstraße 7,Dresden,TX,1097,8/14/2017 7:10,+49 159 4321 5678,+49 176 5678 901
12,Dominik , Richter,8/13/1981,NULL,M,Augustinerstraße 4,Cologne,TX,50667,9/25/2018 16:25,+49 155 9012 3456,+49 177 6789 012
13,Sarah ,Schmidt,10/30/1980,NULL,F,Bahnhofstraße 9,Chemnitz ,TX,45127,6/18/2013 11:30,+49 154 6789 0123,+49 178 7890 123
14, Alexander,Huber,8/1/1979,NULL,M,Friedrichstraße 101,Berlin,TX,10117,8/29/2012 13:40,+49 164 5678 9012,+49 179 8901 234
